               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.050059,             0.03067,                   0,             0.83602,             0.85217,             0.97214,             0.45388,            0.041288,            0.018249,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.042384,            0.024836,                   0,             0.83602,             0.85217,             0.97214,             0.45388,            0.041288,            0.018249,                   0,            0.006139,            0.006139,            0.006139
                  80,             0.04854,            0.038983,                   0,             0.55046,             0.83333,             0.78843,             0.42602,            0.050198,            0.018449,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.053463,            0.025064,                   0,             0.55046,             0.83333,             0.78843,             0.42602,            0.050198,            0.018449,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.053266,            0.035282,                   0,             0.55046,             0.83333,             0.78843,             0.42602,            0.050198,            0.018449,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.051123,            0.026543,                   0,             0.62909,             0.84971,              0.8931,             0.42085,            0.040165,            0.017963,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.042152,            0.019651,                   0,             0.62909,             0.84971,              0.8931,             0.42085,            0.040165,            0.017963,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.046876,            0.024754,                   0,             0.62909,             0.84971,              0.8931,             0.42085,            0.040165,            0.017963,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.048034,            0.030154,                   0,             0.94844,                   1,               0.995,             0.46793,            0.039848,            0.017557,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.046124,            0.030046,                   0,             0.94844,                   1,               0.995,             0.46793,            0.039848,            0.017557,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.044599,            0.020347,                   0,             0.69661,             0.77148,              0.8931,             0.43708,            0.054158,            0.016903,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.055499,            0.021662,                   0,             0.69661,             0.77148,              0.8931,             0.43708,            0.054158,            0.016903,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.054248,            0.024795,                   0,             0.69661,             0.77148,              0.8931,             0.43708,            0.054158,            0.016903,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.052398,            0.027091,                   0,              0.6491,                   1,              0.8931,             0.54275,            0.041666,            0.016812,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.045147,            0.029601,                   0,              0.6491,                   1,              0.8931,             0.54275,            0.041666,            0.016812,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045842,            0.025797,                   0,              0.6491,                   1,              0.8931,             0.54275,            0.041666,            0.016812,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.043276,            0.037457,                   0,             0.84338,                   1,               0.995,             0.65031,            0.036888,            0.016814,                   0,           0.0053965,           0.0053965,           0.0053965
